Datum;Inskrivningar
2020-03-01;1
2020-03-05;3
2020-03-06;1
2020-03-07;1
2020-03-09;1
2020-03-10;1
2020-03-11;1
2020-03-12;3
2020-03-13;4
2020-03-14;1
2020-03-15;1
2020-03-16;6
2020-03-17;4
2020-03-18;5
2020-03-19;10
2020-03-20;4
2020-03-21;2
2020-03-22;1
2020-03-23;5
2020-03-24;9
2020-03-25;8
2020-03-26;6
2020-03-27;9
2020-03-28;7
2020-03-29;7
2020-03-30;10
2020-03-31;9
2020-04-01;15
2020-04-02;9
2020-04-03;7
2020-04-04;10
2020-04-05;15
2020-04-06;14
2020-04-07;21
2020-04-08;17
2020-04-09;25
2020-04-10;15
2020-04-11;16
2020-04-12;15
2020-04-13;10
2020-04-14;15
2020-04-15;16
2020-04-16;20
2020-04-17;23
2020-04-18;14
2020-04-19;16
2020-04-20;34
2020-04-21;18
2020-04-22;18
2020-04-23;26
2020-04-24;22
2020-04-25;25
2020-04-26;18
2020-04-27;22
2020-04-28;24
2020-04-29;18
2020-04-30;21
2020-05-01;20
2020-05-02;18
2020-05-03;12
2020-05-04;18
2020-05-05;26
2020-05-06;19
2020-05-07;19
2020-05-08;14
2020-05-09;16
2020-05-10;7
2020-05-11;11
2020-05-12;8
2020-05-13;16
2020-05-14;12
2020-05-15;14
2020-05-16;8
2020-05-17;5
2020-05-18;13
2020-05-19;14
2020-05-20;13
2020-05-21;14
2020-05-22;16
2020-05-23;8
2020-05-24;8
2020-05-25;14
2020-05-26;13
2020-05-27;17
2020-05-28;14
2020-05-29;16
2020-05-30;18
2020-05-31;6
2020-06-01;16
2020-06-02;17
2020-06-03;8
2020-06-04;11
2020-06-05;10
2020-06-06;7
2020-06-07;9
2020-06-08;13
2020-06-09;13
2020-06-10;9
2020-06-11;13
2020-06-12;17
2020-06-13;7
2020-06-14;9
2020-06-15;11
2020-06-16;14
2020-06-17;14
2020-06-18;11
2020-06-19;8
2020-06-20;13
2020-06-21;11
2020-06-22;2
2020-06-23;9
2020-06-24;12
2020-06-25;8
2020-06-26;8
2020-06-27;3
2020-06-28;9
2020-06-29;7
2020-06-30;14
2020-07-01;7
2020-07-02;8
2020-07-03;7
2020-07-04;4
2020-07-05;4
2020-07-06;8
2020-07-07;4
2020-07-08;5
2020-07-09;5
2020-07-10;6
2020-07-12;5
2020-07-13;5
2020-07-14;5
2020-07-15;4
2020-07-16;4
2020-07-17;3
2020-07-18;1
2020-07-19;2
2020-07-20;3
2020-07-21;3
2020-07-22;3
2020-07-23;5
2020-07-24;2
2020-07-25;2
2020-07-26;1
2020-07-27;1
2020-07-28;5
2020-07-29;3
2020-07-30;1
2020-07-31;1
